user,timestamp,hours,project,logged_time
Jorah,2018-11-20 10:39:00,2.25,products,02:15:00
Jorah,2018-11-20 10:39:00,0.25,projects,00:15:00
Jorah,2018-11-20 10:39:00,0.5,culture and management,00:30:00
Jorah,2018-11-20 10:39:00,1.0,recruitment,01:00:00
Jorah,2018-11-20 10:39:00,0.5,transit,00:30:00
Daenerys,2018-11-20 10:26:00,3.0,projects,03:00:00
Daenerys,2018-11-20 10:26:00,3.0,learning,03:00:00
Jaime,2018-11-20 08:33:00,0.5,projects,00:30:00
Jaime,2018-11-20 08:33:00,3.5,projects,03:30:00
Jaime,2018-11-20 08:33:00,0.25,ops and admin,00:15:00
Jaime,2018-11-20 08:33:00,3.0,projects,03:00:00
Jon,2018-11-20 00:00:00,0.25,projects,00:15:00
Davos,2018-11-20 00:00:00,0.75,projects,00:45:00
Davos,2018-11-20 00:00:00,1.0,projects,01:00:00
Davos,2018-11-20 00:00:00,0.5,projects,00:30:00
Davos,2018-11-20 00:00:00,0.25,blog ideas,00:15:00
Davos,2018-11-20 00:00:00,4.5,projects,04:30:00
Joffrey,2018-11-20 00:00:00,1.5,projects,01:30:00
Stannis,2018-11-20 00:00:00,3.11,blog ideas,03:06:35
Stannis,2018-11-20 00:00:00,2.6,blog ideas,02:36:00
Stannis,2018-11-20 00:00:00,0.77,projects,00:46:12
Catelyn,2018-11-20 00:00:00,1.0,ops and admin,01:00:00
Catelyn,2018-11-20 00:00:00,1.0,engineering,01:00:00
Catelyn,2018-11-20 00:00:00,1.0,projects,01:00:00
Catelyn,2018-11-20 00:00:00,3.0,projects,03:00:00
Jon,2018-11-20 00:00:00,0.5,projects,00:30:00
Jon,2018-11-20 00:00:00,4.75,projects,04:45:00
Davos,2018-11-20 00:00:00,0.5,projects,00:30:00
Jon,2018-11-20 00:00:00,0.75,projects,00:45:00
Jon,2018-11-20 00:00:00,2.0,projects,02:00:00
Jon,2018-11-20 00:00:00,0.75,projects,00:45:00
Jon,2018-11-20 00:00:00,1.0,projects,01:00:00
Jon,2018-11-20 00:00:00,0.5,projects,00:30:00
Jon,2018-11-20 00:00:00,2.25,projects,02:15:00
Littlefinger,2018-11-20 00:00:00,2.75,recruitment,02:45:00
Littlefinger,2018-11-20 00:00:00,2.75,ops and admin,02:45:00
Littlefinger,2018-11-20 00:00:00,0.5,events,00:30:00
Hound,2018-11-20 00:00:00,2.5,ops and admin,02:30:00
Hound,2018-11-20 00:00:00,1.5,finance,01:30:00
Hound,2018-11-20 00:00:00,0.5,finance,00:30:00
Hound,2018-11-20 00:00:00,0.5,events,00:30:00
Hound,2018-11-20 00:00:00,1.0,ops and admin,01:00:00
Hound,2018-11-20 00:00:00,2.0,finance,02:00:00
Tyrion,2018-11-20 00:00:00,0.87,learning,00:52:12
Sansa,2018-11-20 00:00:00,1.0,projects,01:00:00
Sansa,2018-11-20 00:00:00,2.0,products,02:00:00
Sansa,2018-11-20 00:00:00,1.0,bizdev,01:00:00
Bran,2018-11-20 00:00:00,3.0,bizdev,03:00:00
Bran,2018-11-20 00:00:00,3.1,projects,03:06:00
Bran,2018-11-20 00:00:00,0.58,culture and management,00:34:47
Bran,2018-11-20 00:00:00,4.5,bizdev,04:30:00
Tyrion,2018-11-20 00:00:00,1.65,website,01:38:59
Tyrion,2018-11-20 00:00:00,1.98,website,01:58:47
Tyrion,2018-11-20 00:00:00,0.78,data storytelling,00:46:48
Sansa,2018-11-20 00:00:00,1.5,transit,01:30:00
Tyrion,2018-11-20 00:00:00,0.48,website,00:28:47
Tyrion,2018-11-20 00:00:00,1.33,data storytelling,01:19:48
Tyrion,2018-11-20 00:00:00,0.28,projects,00:16:48
Tyrion,2018-11-20 00:00:00,0.28,website,00:16:48
Tyrion,2018-11-20 00:00:00,1.08,learning,01:04:48
Joffrey,2018-11-20 00:00:00,3.0,bizdev,03:00:00
Joffrey,2018-11-20 00:00:00,1.5,projects,01:30:00
Joffrey,2018-11-20 00:00:00,1.0,projects,01:00:00
Joffrey,2018-11-20 00:00:00,0.5,bizdev,00:30:00
Sansa,2018-11-20 00:00:00,2.0,data storytelling,02:00:00
Joffrey,2018-11-20 00:00:00,0.25,projects,00:15:00
Joffrey,2018-11-20 00:00:00,0.5,projects,00:30:00
Joffrey,2018-11-20 00:00:00,2.5,projects,02:30:00
Sansa,2018-11-20 00:00:00,3.0,projects,03:00:00
Sansa,2018-11-20 00:00:00,1.0,projects,01:00:00
Arya,2018-11-20 00:00:00,8.0,projects,08:00:00
Ned,2018-11-19 16:40:00,1.0,bizdev,01:00:00
Ned,2018-11-19 16:40:00,1.0,ops and admin,01:00:00
Jeor,2018-11-19 14:40:00,0.5,projects,00:30:00
Jeor,2018-11-19 14:40:00,1.0,projects,01:00:00
Jeor,2018-11-19 14:40:00,1.0,ops and admin,01:00:00
Jeor,2018-11-19 14:40:00,5.5,projects,05:30:00
Jeor,2018-11-19 14:40:00,0.5,data storytelling,00:30:00
Davos,2018-11-19 14:39:00,1.0,projects,01:00:00
Davos,2018-11-19 14:39:00,0.5,ops and admin,00:30:00
Davos,2018-11-19 14:39:00,1.0,projects,01:00:00
Davos,2018-11-19 14:39:00,1.0,projects,01:00:00
Davos,2018-11-19 14:39:00,2.0,projects,02:00:00
Davos,2018-11-19 14:39:00,0.5,projects,00:30:00
Davos,2018-11-19 14:39:00,1.0,ops and admin,01:00:00
Ned,2018-11-19 14:28:00,2.0,culture and management,02:00:00
